devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
,,,,,Jake Smith,,,,,,,,,,,,,,,,,,,3,,,,,,1533,,M,,,,,,,,4.0,,,
0.0,0.0,,,,Joshua Coffman,0.0,10.0635,0.355286,,0.355286,,1.0,0.0,,0.0,0.0,0,0.00176523,0.0,1.0,,,,3,0.0,0.0,0.0,,,1524,0.0,M,,0.355286,0,0.00213159,,,,4.0,,1.0,0.0
-3.0,0.0,,118.0,50.4774,Logan McNaney,0.0,0.0793611,0.120478,,0.843343,-7.52256,7.0,0.0,0.5085,0.219421,0.0,0,0.0759047,0.0,3.0,-0.0637505,58.0,,3,0.0,0.0,-0.499753,,126.0,1517,3.0,G,126.0,1.36584,0,0.0305528,,,,3.0,0.6597,13.0,0.0
0.0,0.0,,,,Jackson Marshall,0.0,10.76,0.189938,,0.189938,,1.0,0.0,,0.0,0.0,0,0.000882613,0.0,0.0,,,,3,0.0,0.0,0.0,,,16169,0.0,G,,0.189938,0,0.00118422,,,,2.0,,1.0,0.0
,,,,,Kelan Duff,,,,,,,,,,,,,,,,,,,3,,,,,,16160,,D,,,,,,,,2.0,,,
0.0,0.0,,,,Alex Wicks,0.0,5.37999,0.379876,,0.759752,,2.0,0.0,,0.0,0.379876,0,0.00353045,0.0,0.0,,,,3,0.0,0.0,0.0,,,16161,0.0,M,,0.379876,0,0.00473687,,,,2.0,,4.0,0.0
-1.0,1.0,,,,Geordy Holmes,0.0,0.469103,0.0248422,0.0,0.0496843,,2.0,0.0,,0.760894,0.0,0,0.00264784,0.0,0.0,,,-0.891678,3,0.0,0.0,0.0496843,-0.445839,,20713,1.0,M,,0.0,0,0.00293686,0.891678,,0.5,1.0,,0.0,2.0
3.0,2.0,,,,Kevin Tucker,0.0,8.45623,0.746357,0.5,2.23907,,3.0,0.027027,,0.0,0.0,0,0.00441306,0.0,0.0,,,-0.0288337,3,2.0,1.0,2.04913,-0.0144169,,20714,0.0,M,,0.189938,0,0.00696319,1.02883,,1.0,1.0,,1.0,2.0
-1.0,0.0,,,,Ajax Zappitello,0.0,0.866182,0.412832,0.0,2.88982,,7.0,0.0,,0.0796882,0.189938,0,0.0238305,3.0,11.0,,,-0.638254,3,0.0,0.0,0.213258,-0.319127,,16163,1.0,D,,2.48663,0,0.0280423,0.638254,,0.0,2.0,,10.0,2.0
8.0,14.0,,,,Daniel Maltz,0.0,2.21541,1.1341,0.5,7.93872,,7.0,0.0675676,,0.331754,0.0,0,0.0255958,0.0,0.0,,,-0.414044,3,5.0,8.0,7.3689,-0.0258778,,1523,5.0,A,,0.569814,0,0.0336791,8.41404,,0.875,3.0,,3.0,16.0
-2.0,0.0,,,,Ryan Siracusa,0.0,1.3531,0.143311,0.0,0.429933,,3.0,0.0,,0.737116,0.0,0,0.00529568,0.0,0.0,,,-1.05402,3,0.0,0.0,0.239995,-0.351339,,16164,2.0,A,,0.189938,0,0.00606319,1.05402,,0.0,2.0,,1.0,3.0
